cmp_id,cmp_tr,cmp_en,Type,Status,adm2_tr,adm2_en,adm2_code,adm1,adm1_tr,adm1_en,adm1_code,adm0_tr,adm0_en,pcode,latitude,longitude
C01,YAYLADAĞI 1,YAYLADAGI 1,Refugee Camp,CLOSED,YAYLADAĞI,YAYLADAGI,TUR031015,31.00000000000,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031015C01,35.90580300000,36.04890800000
C02,YAYLADAĞI,YAYLADAGI,Refugee Camp,ACTIVE,YAYLADAĞI,YAYLADAGI,TUR031015,31.00000000000,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031015C02,35.90693200000,36.05485700000
C03,GÜVEÇÇİ,GUVECCI CAMP,Refugee Camp,CLOSED,YAYLADAĞI,YAYLADAGI,TUR031015,31.00000000000,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031015C03,35.88888900000,36.17089100000
C04,ALTINÖZÜ,ALTINOZU,Refugee Camp,ACTIVE,ALTINÖZÜ,ALTINOZU,TUR031001,31.00000000000,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031001C04,36.18402000000,36.36496400000
C05,ALTINÖZÜ,ALTINOZU,Refugee Camp,CLOSED,ALTINÖZÜ,ALTINOZU,TUR031001,31.00000000000,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031001C05,36.13017400000,36.23881200000
C06,APAYDIN,APAYDIN,Military Defactors Camp,ACTIVE,ANTAKYA,ANTAKYA,TUR031002,31.00000000000,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031002C06,36.23508100000,36.35259000000
C07,SARIÇAM,SARICAM,Refugee Camp,ACTIVE,SARIÇAM,SARICAM,TUR001011,1.00000000000,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001011C07,37.04746000000,35.49165900000
C08,ADIYAMAN,ADIYAMAN,Refugee Camp,CLOSED,ADIYAMAN,ADIYAMAN,TUR002001,2.00000000000,ADIYAMAN,ADIYAMAN,TUR002,TÜRKİYE,TURKEY,TUR002001C08,37.54613700000,38.22885900000
C09,ISLAHİYE 1,ISLAHIYE,Refugee Camp,CLOSED,İSLAHİYE,ISLAHIYE,TUR027002,27.00000000000,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027002C09,36.98677000000,36.61680500000
C10,ISLAHİYE 2,ISLAHIYE 2,Refugee Camp,CLOSED,İSLAHİYE,ISLAHIYE,TUR027002,27.00000000000,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027002C10,36.93375500000,36.57062800000
C11,KARKAMIŞ,KARKAMIS,Refugee Camp,CLOSED,KARKAMIŞ,KARKAMIS,TUR027003,27.00000000000,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027003C11,36.87597300000,38.02866800000
C12,NİZİP 1,NIZIP 1,Refugee Camp,CLOSED,NİZİP,NIZIP,TUR027004,27.00000000000,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027004C12,37.04668000000,37.89546100000
C13,NİZİP 2,NIZIP 2,Refugee Camp,CLOSED,NİZİP,NIZIP,TUR027004,27.00000000000,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027004C13,37.04335600000,37.90342100000
C14,TÜRKOĞLU,TURKOGLU,Refugee Camp,ACTIVE,DULKADİROĞLU,DULKADIROGLU,TUR046004,46.00000000000,KAHRAMANMARAŞ,KAHRAMANMARAS,TUR046,TÜRKİYE,TURKEY,TUR046004C14,37.56253400000,36.97560600000
C15,ÖNCUPINAR,ONCUPINAR,Refugee Camp,CLOSED,KILIS,KILIS,TUR079002,79.00000000000,KİLİS,KILIS,TUR079,TÜRKİYE,TURKEY,TUR079002C15,36.65026500000,37.08738000000
C16,ELBEYLİ,ELBEYLI,Refugee Camp,ACTIVE,ELBEYLİ,ELBEYLI,TUR079001,79.00000000000,KİLİS,KILIS,TUR079,TÜRKİYE,TURKEY,TUR079001C16,36.66163400000,37.36194000000
C17,MALATYA,BEYDAGI,Refugee Camp,CLOSED,YEŞİLYURT,YESILYURT,TUR044013,44.00000000000,MALATYA,MALATYA,TUR044,TÜRKİYE,TURKEY,TUR044013C17,38.33955000000,38.15168300000
C18,MİDYAT,MIDYAT,Refugee Camp,CLOSED,MİDYAT,MIDYAT,TUR047006,47.00000000000,MARDİN,MARDIN,TUR047,TÜRKİYE,TURKEY,TUR047006C18,37.41117400000,41.39271500000
C19,CEVDETIYE,CEVDETIYE,Refugee Camp,ACTIVE,OSMANIYE,OSMANIYE,TUR080005,80.00000000000,OSMANİYE,OSMANIYE,TUR080,TÜRKİYE,TURKEY,TUR080005C19,37.13564300000,36.20515400000
C25,OSMANİYE,DUZICI,Refugee Camp,CLOSED,DÜZİÇİ,DUZICI,TUR080002,80.00000000000,OSMANİYE,OSMANIYE,TUR080,TÜRKİYE,TURKEY,TUR080002C25,37.32158500000,36.45374400000
C20,AKÇAKALE,AKCAKALE,Refugee Camp,CLOSED,AKÇAKALE,AKCAKALE,TUR063001,63.00000000000,ŞANLIURFA,SANLIURFA,TUR063,TÜRKİYE,TURKEY,TUR063001C20,36.75280500000,38.94915700000
C21,HARRAN,HARRAN,Refugee Camp,CLOSED,HARRAN,HARRAN,TUR063008,63.00000000000,ŞANLIURFA,SANLIURFA,TUR063,TÜRKİYE,TURKEY,TUR063008C21,36.85779100000,39.02109300000
C22,CEYLANPINAR,CEYLANPINAR,Refugee Camp,CLOSED,CEYLANPINAR,CEYLANPINAR,TUR063004,63.00000000000,ŞANLIURFA,SANLIURFA,TUR063,TÜRKİYE,TURKEY,TUR063004C22,36.81852500000,39.92675400000
C23,VİRANŞEHİR,VIRANSEHIR,Refugee Camp,CLOSED,CEYLANPINAR,CEYLANPINAR,TUR063004,63.00000000000,ŞANLIURFA,SANLIURFA,TUR063,TÜRKİYE,TURKEY,TUR063004C23,36.93797400000,40.02351800000
C24,SURUÇ,SURUC,Refugee Camp,CLOSED,EYYÜBİYE,EYYUBIYE,TUR063005,63.00000000000,ŞANLIURFA,SANLIURFA,TUR063,TÜRKİYE,TURKEY,TUR063005C24,37.04500900000,38.47798900000
